ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
S01B,ANTIINFLAMMATORY AGENTS,서울,강남구,"44,230","85,428,921","44,668","98,738,853","47,750","100,849,008","58,044","93,937,543","57,415","76,941,469","56,616","81,475,250","85,797","83,778,829","97,342","96,786,895","113,324","94,311,150","113,547","98,076,237","110,336","74,426,894","130,769","81,964,521"
S01B,ANTIINFLAMMATORY AGENTS,서울,강동구,"10,084","21,010,790","9,496","20,546,108","10,042","20,643,644","14,277","19,690,114","15,766","23,732,184","15,162","24,531,426","25,663","22,108,496","33,146","25,585,636","40,060","23,436,643","41,699","27,596,412","37,407","19,436,743","42,000","19,986,566"
S01B,ANTIINFLAMMATORY AGENTS,서울,강북구,"7,411","15,255,614","6,991","14,359,420","7,425","14,765,037","16,992","16,012,591","19,598","17,085,919","16,778","14,749,710","32,978","16,339,743","37,746","17,802,201","39,686","17,031,345","38,721","14,642,505","35,772","13,204,585","42,292","15,016,667"
S01B,ANTIINFLAMMATORY AGENTS,서울,강서구,"13,339","21,279,145","12,785","20,626,597","14,355","27,832,377","31,957","27,370,306","37,260","29,146,588","33,943","28,475,915","46,501","29,031,937","55,016","29,034,005","57,522","28,336,394","52,184","23,594,327","53,177","21,560,705","58,603","22,209,936"
S01B,ANTIINFLAMMATORY AGENTS,서울,관악구,"6,173","10,751,092","6,793","11,875,601","6,486","12,110,224","7,929","13,337,583","8,300","13,321,707","7,693","11,842,984","15,274","12,272,988","25,916","13,232,782","27,416","14,332,480","25,450","13,335,119","22,853","11,169,258","25,422","11,582,863"
S01B,ANTIINFLAMMATORY AGENTS,서울,광진구,"7,248","16,006,349","7,449","15,251,204","8,349","17,410,899","21,617","18,019,750","22,991","20,151,029","20,156","17,168,819","26,705","19,260,045","32,830","19,640,662","35,181","19,578,963","31,789","16,939,770","24,003","12,108,682","24,954","12,904,208"
S01B,ANTIINFLAMMATORY AGENTS,서울,구로구,"4,370","9,304,286","4,692","10,887,528","4,659","9,195,283","7,154","11,581,711","8,341","14,889,939","6,726","11,921,373","12,418","10,819,685","20,884","11,195,434","22,762","10,170,299","19,194","9,379,412","17,710","9,793,020","20,496","8,465,419"
S01B,ANTIINFLAMMATORY AGENTS,서울,금천구,"3,096","5,602,701","3,279","6,020,885","3,716","6,577,269","7,002","6,424,594","7,355","7,280,987","7,272","6,115,980","11,994","6,403,429","16,256","7,480,096","16,545","6,967,591","13,612","5,589,255","13,345","5,005,327","15,532","5,826,151"
S01B,ANTIINFLAMMATORY AGENTS,서울,노원구,"16,885","19,226,640","16,891","21,607,185","14,788","21,019,064","20,144","22,114,633","19,741","22,099,628","18,602","20,890,491","33,815","22,340,834","40,438","22,712,874","45,644","23,185,550","39,422","18,685,666","40,296","18,925,618","41,036","17,951,194"
S01B,ANTIINFLAMMATORY AGENTS,서울,도봉구,"17,357","19,735,659","17,907","18,388,354","18,024","17,902,597","38,344","20,806,230","39,672","21,799,530","31,500","17,263,313","40,448","17,934,971","44,659","19,238,748","44,592","18,002,218","40,713","16,419,340","38,394","14,892,792","35,481","13,801,245"
S01B,ANTIINFLAMMATORY AGENTS,서울,동대문구,"13,305","19,539,661","13,738","20,829,409","14,070","19,756,928","16,156","22,891,194","16,266","21,542,197","15,657","25,009,477","30,761","35,741,194","37,600","26,539,574","40,360","20,578,473","38,112","21,962,056","32,475","17,707,942","37,228","14,840,433"
S01B,ANTIINFLAMMATORY AGENTS,서울,동작구,"8,940","13,541,311","8,699","14,839,094","10,160","16,385,884","13,615","16,467,660","15,364","19,108,006","13,555","14,650,863","22,579","18,312,133","26,106","15,038,229","28,071","17,204,031","26,132","17,577,292","22,266","11,986,351","26,792","11,370,532"
S01B,ANTIINFLAMMATORY AGENTS,서울,마포구,"6,599","10,076,759","7,091","10,714,289","7,457","10,934,446","13,590","12,543,730","14,559","12,383,087","12,478","11,101,013","18,113","11,093,668","24,973","11,917,297","26,633","12,212,068","21,235","9,785,841","21,468","8,387,509","22,998","9,108,721"
S01B,ANTIINFLAMMATORY AGENTS,서울,서대문구,"9,548","21,142,614","10,315","25,728,287","10,140","25,448,922","11,316","22,976,506","11,746","26,122,642","10,546","24,588,115","15,548","23,105,333","21,400","21,940,187","23,744","18,913,338","29,068","22,161,779","26,738","17,838,912","41,826","22,509,408"
S01B,ANTIINFLAMMATORY AGENTS,서울,서초구,"31,572","46,564,270","32,116","35,963,693","32,364","42,454,486","33,629","46,948,182","37,026","43,891,511","34,761","40,760,664","49,023","48,640,537","57,446","54,519,083","62,687","53,310,833","59,032","38,562,919","55,139","40,808,326","69,854","35,031,870"
S01B,ANTIINFLAMMATORY AGENTS,서울,성동구,"2,892","11,228,624","2,790","7,162,689","3,155","9,418,448","6,106","10,793,858","7,718","11,394,592","7,092","11,840,658","12,798","7,221,073","18,221","13,381,354","18,940","13,089,298","18,933","10,928,188","16,895","8,128,193","17,835","8,739,919"
S01B,ANTIINFLAMMATORY AGENTS,서울,성북구,"3,867","9,197,511","4,239","11,264,692","4,486","10,770,060","9,492","11,270,018","11,444","11,301,546","10,476","12,235,669","13,793","11,210,446","19,954","12,846,333","22,760","11,935,860","19,878","10,580,561","19,145","8,724,839","21,077","10,096,546"
S01B,ANTIINFLAMMATORY AGENTS,서울,송파구,"16,795","32,158,844","17,916","30,264,511","17,529","28,200,228","24,972","32,536,553","26,677","31,928,860","24,537","43,420,219","33,510","56,871,926","41,770","45,890,339","49,815","41,264,063","45,619","47,508,748","50,240","34,697,911","59,366","33,086,119"
S01B,ANTIINFLAMMATORY AGENTS,서울,양천구,"4,480","9,862,884","5,134","8,144,498","5,403","8,791,843","10,302","12,015,873","12,731","9,672,538","11,435","9,586,079","16,280","11,465,048","18,496","9,714,149","20,512","10,221,204","19,816","8,697,705","19,302","7,453,471","20,768","8,118,745"
S01B,ANTIINFLAMMATORY AGENTS,서울,영등포구,"29,791","45,999,599","29,531","56,366,618","26,287","55,188,621","34,713","63,469,425","39,127","57,999,305","36,203","47,651,313","55,901","60,145,938","58,762","55,051,993","56,912","57,290,895","57,678","70,745,311","49,950","46,149,772","56,452","43,374,840"
S01B,ANTIINFLAMMATORY AGENTS,서울,용산구,"3,625","4,685,038","3,829","5,817,928","3,707","8,534,426","4,618","7,885,623","6,016","7,636,687","6,039","7,658,705","9,977","7,075,708","13,113","12,198,591","12,636","7,344,318","14,072","8,793,413","13,496","8,986,316","13,594","9,438,875"
S01B,ANTIINFLAMMATORY AGENTS,서울,은평구,"12,490","19,769,166","11,204","17,317,256","11,999","18,362,453","19,396","20,759,039","25,314","22,566,686","23,982","20,413,658","39,067","20,191,791","49,010","21,284,482","50,345","19,771,745","49,002","18,326,897","43,475","15,876,891","47,450","17,115,753"
S01B,ANTIINFLAMMATORY AGENTS,서울,종로구,"14,661","28,598,477","12,476","19,409,608","12,951","23,612,119","17,279","22,289,128","18,862","30,478,689","21,760","37,756,178","23,964","33,855,086","33,632","36,387,511","36,258","32,344,846","37,657","46,144,857","34,498","25,827,633","36,097","19,481,479"
S01B,ANTIINFLAMMATORY AGENTS,서울,중구,"5,279","9,770,721","5,350","9,966,483","5,670","9,507,468","7,554","10,432,765","8,172","9,924,322","7,476","10,504,735","9,887","10,198,829","19,250","10,517,317","22,142","11,698,364","23,273","11,188,407","20,742","10,214,885","23,900","9,761,789"
