ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,서울,강남구,"3,100","6,457,271","3,007","6,234,039","2,902","5,839,047","4,608","6,352,114","5,528","6,903,085","6,141","6,735,309","8,816","6,895,451","10,476","6,846,434","12,311","6,892,588","11,797","6,239,323","11,009","5,572,777","11,622","5,981,850"
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,서울,강동구,"2,559","5,080,265","2,549","4,924,882","2,638","5,065,350","6,486","5,058,326","6,938","5,390,129","6,238","4,732,643","8,059","4,945,480","9,680","5,046,002","11,860","5,368,020","12,203","4,732,271","11,144","3,804,168","11,582","4,169,230"
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,서울,강북구,"1,509","4,150,413","1,437","3,917,832","1,511","4,181,170","2,414","4,323,892","2,523","4,610,805","2,455","4,178,586","6,949","4,344,783","7,648","4,663,550","6,978","4,110,560","5,761","3,649,277","5,088","3,105,002","5,279","3,165,353"
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,서울,강서구,"1,674","2,678,472","1,634","2,640,771","1,713","2,729,776","3,760","2,921,412","4,478","3,113,559","4,196","3,074,136","6,311","2,924,000","7,683","3,189,642","7,100","2,930,065","6,214","2,476,065","6,064","2,366,956","6,059","2,401,726"
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,서울,관악구,"1,106","2,789,165","1,145","2,886,538","1,266","3,206,299","2,146","3,446,644","2,186","3,421,519","1,701","2,618,757","2,581","2,792,640","4,359","2,816,728","4,203","2,852,255","4,436","2,893,270","3,870","2,201,273","4,170","2,218,576"
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,서울,광진구,"1,275","2,590,842","1,444","2,922,328","1,482","2,790,334","3,638","2,950,822","4,726","3,580,220","4,210","3,054,576","6,084","2,920,240","7,064","3,240,490","7,767","3,516,843","6,192","2,878,344","5,164","2,365,027","5,360","2,400,528"
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,서울,구로구,"1,756","2,997,421","1,720","2,894,604","1,857","2,997,313","3,257","2,861,200","4,326","3,268,384","3,960","2,708,445","5,616","2,961,261","6,758","2,955,735","7,316","2,797,782","6,346","2,300,561","5,383","1,881,298","6,046","1,983,980"
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,서울,금천구,"1,049","1,875,802","1,086","2,066,287","1,083","2,075,717","2,760","2,151,245","3,638","2,610,516","3,489","2,402,942","4,432","2,546,764","5,860","2,884,984","6,052","2,872,068","5,538","2,503,341","4,877","1,984,734","4,638","1,869,856"
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,서울,노원구,"1,899","3,720,355","1,872","3,688,624","1,934","3,743,170","2,477","3,815,730","2,289","3,740,998","2,180","3,429,092","4,758","3,431,781","6,341","3,974,983","6,653","4,113,960","6,949","3,504,430","5,832","2,611,730","5,372","2,413,119"
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,서울,도봉구,"1,078","2,091,928","1,087","2,079,323","1,106","2,118,697","1,803","2,108,273","1,931","2,383,735","2,052","2,174,446","3,609","2,001,245","4,362","2,078,555","4,868","2,360,515","4,716","2,362,764","4,342","1,990,068","4,270","1,749,087"
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,서울,동대문구,"1,174","2,744,014","1,248","2,898,019","1,214","2,802,830","1,518","3,069,980","1,711","3,413,681","1,706","3,130,695","4,528","3,131,494","5,150","3,289,757","4,900","2,941,777","4,764","2,868,189","4,198","2,420,286","4,382","2,463,638"
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,서울,동작구,"1,496","3,241,225","1,390","3,050,053","1,332","2,829,869","1,998","2,971,772","2,212","3,481,448","2,956","3,161,602","4,020","2,969,463","5,562","3,265,307","5,918","3,359,752","7,254","3,452,128","6,025","2,715,122","6,759","3,040,978"
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,서울,마포구,"1,382","2,743,213","1,336","2,649,721","1,527","2,885,660","3,116","3,004,506","3,090","2,722,173","3,156","2,897,242","4,380","2,546,686","6,278","2,663,256","6,023","2,617,544","5,712","2,411,514","5,290","2,168,719","5,300","2,078,533"
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,서울,서대문구,"1,114","1,673,120","1,207","1,819,817","1,266","1,932,451","2,173","1,933,848","2,632","2,465,631","2,412","2,134,359","2,893","1,887,665","3,678","1,859,347","4,208","2,149,649","4,104","1,697,215","4,226","1,706,801","4,952","1,933,753"
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,서울,서초구,"1,619","3,310,234","1,536","3,070,394","1,534","2,927,323","2,208","3,183,422","2,360","3,388,775","2,650","3,123,163","5,163","3,016,269","6,226","3,240,016","7,038","3,537,488","6,615","3,073,785","5,674","2,734,007","5,677","2,501,052"
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,서울,성동구,"1,116","2,594,784","1,216","2,792,652","1,092","2,487,210","1,541","2,866,152","3,156","3,304,733","2,758","2,947,420","4,453","2,846,571","5,675","3,070,800","5,719","3,003,132","5,350","2,728,433","4,637","2,529,146","4,980","2,513,305"
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,서울,성북구,"1,338","2,366,541","1,348","2,374,875","1,245","2,005,707","2,796","2,353,101","2,962","2,380,423","3,058","2,272,513","5,587","2,515,066","6,969","2,786,747","6,946","2,541,952","6,130","2,179,839","4,950","1,780,272","4,767","1,728,087"
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,서울,송파구,"2,565","5,224,312","2,572","4,983,286","2,349","4,148,356","3,316","4,594,502","3,874","5,206,529","3,463","4,812,318","4,742","4,711,016","6,085","4,668,372","8,906","8,148,353","7,528","5,233,970","6,954","3,123,670","7,610","3,556,372"
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,서울,양천구,890,"1,571,095",835,"1,458,901",809,"1,351,684","2,135","1,435,843","2,241","1,623,352","2,216","1,426,447","2,848","1,512,144","3,653","1,748,797","3,560","1,725,756","3,140","1,416,612","2,304","984,422","2,422","1,033,759"
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,서울,영등포구,"2,103","4,078,136","2,138","4,128,364","2,030","3,753,320","4,667","4,190,573","4,620","4,555,304","4,172","4,000,734","6,632","3,923,209","8,232","4,611,526","8,839","4,898,385","7,745","4,126,320","6,978","3,510,796","6,966","3,341,820"
