ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,서울,강남구,"125,657","348,537,424","125,196","342,915,250","111,538","327,070,517","118,829","318,742,408","118,262","322,131,980","124,295","323,223,185","149,281","327,439,250","133,889","301,278,735","166,910","330,143,220","168,173","327,431,872","149,448","281,597,997","159,152","296,051,820"
S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,서울,강동구,"45,510","181,899,986","43,698","170,248,400","41,620","165,158,029","43,050","172,509,662","47,096","176,873,138","44,676","165,630,377","53,470","171,053,259","54,197","164,272,082","57,646","162,115,466","78,594","170,116,189","68,300","150,070,411","79,858","159,865,998"
S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,서울,강북구,"12,607","52,478,306","11,390","46,280,028","12,282","46,870,856","13,926","49,858,902","12,665","48,832,814","14,076","48,347,139","18,172","44,380,452","20,861","48,686,348","17,316","41,750,831","19,478","45,850,535","16,002","37,903,688","18,798","42,001,568"
S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,서울,강서구,"19,873","78,114,071","16,176","69,698,765","19,414","72,397,493","18,190","65,014,583","20,366","77,019,274","18,968","65,328,418","21,730","66,961,680","26,815","65,812,027","25,795","63,623,047","30,678","68,661,211","23,158","55,956,500","24,918","55,628,812"
S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,서울,관악구,"5,225","35,615,704","5,815","32,116,356","5,310","33,298,736","5,624","31,070,438","7,320","36,608,342","5,445","31,288,796","7,689","33,687,120","9,055","30,752,771","10,413","32,418,535","10,230","34,771,317","9,899","29,343,954","9,907","29,379,344"
S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,서울,광진구,"26,418","64,988,241","28,589","66,257,824","26,336","67,465,754","22,318","59,919,963","24,519","65,138,901","23,772","56,642,665","22,962","54,201,955","25,156","57,477,669","27,430","60,552,005","24,675","56,375,059","20,839","48,946,405","20,255","46,978,828"
S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,서울,구로구,"29,246","73,850,155","27,704","65,741,863","27,157","64,279,088","25,570","63,151,566","25,524","60,559,087","31,329","68,258,752","24,066","56,083,100","29,996","60,216,828","32,809","59,203,068","26,410","53,492,298","27,571","49,386,431","30,260","56,317,701"
S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,서울,금천구,"2,970","17,212,734","3,189","18,646,516","2,455","17,313,126","2,727","17,335,909","2,848","19,231,195","2,474","16,783,753","5,459","17,899,961","4,796","17,513,174","5,286","16,212,913","5,712","17,509,540","4,783","14,977,971","6,144","16,592,826"
S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,서울,노원구,"28,734","101,656,508","23,342","103,237,941","23,314","97,930,317","25,256","100,505,897","27,510","108,125,429","25,437","104,031,615","29,017","92,409,958","30,739","93,655,763","33,204","96,251,239","32,786","94,295,325","39,314","88,205,877","34,956","82,086,514"
S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,서울,도봉구,"9,794","33,724,340","11,506","36,388,629","9,065","32,557,359","14,983","36,635,758","14,380","39,484,429","11,078","32,565,148","13,020","31,764,003","12,830","32,306,659","14,458","35,633,652","13,568","30,737,973","14,420","31,189,540","13,340","30,930,582"
S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,서울,동대문구,"37,824","104,286,174","41,690","102,286,123","30,668","95,649,507","37,076","99,419,070","39,964","115,163,571","34,507","92,714,254","46,820","100,659,852","45,748","97,715,595","46,382","95,563,601","47,722","99,961,617","41,225","86,767,658","42,657","81,681,511"
S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,서울,동작구,"25,622","74,644,792","26,085","73,029,701","27,305","70,565,200","24,866","73,122,576","25,009","70,685,343","30,837","74,000,232","31,177","66,120,972","31,734","67,219,158","33,175","72,237,498","37,379","75,555,432","28,398","59,263,644","37,456","65,451,638"
S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,서울,마포구,"8,006","30,853,788","4,120","25,877,392","6,306","29,176,717","4,125","23,855,613","6,311","28,551,194","4,764","26,001,668","7,348","25,407,508","7,620","25,562,364","8,058","26,910,087","8,360","26,906,617","8,030","22,056,595","7,212","21,254,777"
S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,서울,서대문구,"41,976","145,861,850","39,184","140,897,819","38,954","144,742,787","35,289","131,058,757","38,660","145,279,892","37,928","132,510,481","44,868","136,527,211","36,885","125,003,658","35,644","118,563,822","40,016","131,317,184","40,679","115,000,900","50,612","107,457,507"
S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,서울,서초구,"52,672","213,850,965","56,885","207,840,287","53,039","200,621,703","49,490","190,159,776","57,471","203,397,934","41,361","182,341,775","36,057","177,174,522","34,121","184,236,882","34,339","183,763,619","30,162","173,501,633","29,941","158,061,549","61,968","152,642,029"
S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,서울,성동구,"8,439","36,666,723","8,534","38,879,611","7,486","34,817,808","8,002","34,853,229","6,940","32,350,485","8,460","35,851,673","8,390","31,301,443","9,434","30,277,054","9,780","31,809,456","12,217","31,731,328","11,708","27,236,464","11,569","30,417,856"
