ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,강남구,"3,004","2,406,412","2,975","2,333,939","2,717","2,246,394","3,022","2,114,737","2,862","2,255,533","3,219","2,188,841","4,432","2,180,678","3,934","1,957,139","5,753","1,877,996","5,933","1,857,076","5,204","1,674,924","6,888","1,923,446"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,강동구,967,"737,328","1,056","810,570","1,001","801,467","1,275","753,429","1,271","766,034","1,322","832,845","1,437","714,955","1,648","688,739","1,668","600,654","2,250","679,663","1,838","521,696","2,319","629,666"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,강북구,97,"311,213",75,"207,145",157,"295,001",368,"331,630",386,"325,950",367,"243,000",653,"241,390",578,"212,392",695,"242,463",676,"229,237",522,"230,163",618,"209,057"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,강서구,"2,570","862,708","2,425","900,461","2,418","802,490","2,265","655,747","2,405","667,757","2,258","673,788","2,642","739,309","3,172","855,604","3,340","884,383","3,432","880,719","2,884","731,839","2,788","700,278"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,관악구,192,"884,446",149,"706,435",147,"732,688",206,"657,871",239,"794,413",209,"722,596",444,"754,118","1,014","577,009","1,323","533,047","1,330","528,014","1,160","469,260","1,206","479,913"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,광진구,"1,842","618,764","1,828","671,212","1,370","610,326",164,"300,567",290,"348,604",245,"336,439",265,"287,285",289,"322,401",312,"314,235",293,"287,268",316,"277,678",252,"308,482"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,구로구,"1,094","730,013","1,174","860,011",987,"716,572",980,"764,343","1,319","848,283","1,348","803,678","1,656","881,802","1,562","788,772","2,856","813,626","3,465","1,223,002","2,681","765,838","3,215","888,573"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,금천구,136,"133,061",136,"146,408",169,"186,083",216,"160,185",332,"147,122",224,"90,436",275,"108,183",415,"162,099",407,"158,529",244,"88,497",375,"148,321",211,"78,004"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,노원구,"3,632","1,488,434","3,382","1,516,841","3,597","1,715,884","3,547","1,492,849","3,623","1,666,340","3,584","1,607,306","3,839","1,337,042","3,857","1,125,866","4,065","1,131,255","4,514","1,245,672","3,934","1,054,183","3,969","1,030,825"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,도봉구,760,"836,781",800,"920,238",871,"1,420,743","1,008","633,784","1,106","612,892","1,170","639,921","1,268","399,347","1,135","359,970","1,153","366,637","1,075","325,983",940,"285,540","1,022","301,729"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,동대문구,197,"615,368",203,"632,066",178,"604,722",224,"419,343",292,"602,994",302,"658,955","1,171","638,747","1,413","693,383","1,355","610,378","1,393","622,035","1,039","483,981","1,052","364,350"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,동작구,252,"215,778",250,"178,254",204,"174,745",379,"191,778",346,"235,182",558,"218,702",639,"225,675",890,"282,235","1,222","237,009","1,476","211,315","1,417","184,799","1,425","201,445"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,마포구,458,"1,125,825",414,"904,575",499,"1,237,154",516,"599,514",448,"151,162",515,"202,293",534,"224,573",523,"173,047",668,"218,194",683,"212,358",512,"157,896",534,"159,884"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,서대문구,865,"1,224,256",902,"1,391,333",742,"1,457,754",838,"1,449,672",903,"1,513,024",834,"1,273,480","1,208","1,377,971","1,540","1,448,444","1,487","1,362,188","1,819","1,576,032","1,591","1,001,363","4,581","1,367,462"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,서초구,414,"1,309,992",385,"1,207,030",399,"1,277,872",383,"1,115,632",508,"1,528,516",447,"1,335,927",442,"1,417,806",474,"1,248,427",478,"1,249,356",494,"1,414,107",387,"1,023,613","4,093","1,219,307"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,성동구,"1,091","301,252","1,091","330,101","1,099","291,222","1,153","313,563","1,321","354,375","1,062","301,175","1,121","297,075","1,114","292,502","1,189","326,948","1,470","354,902","1,197","289,061","1,390","339,371"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,성북구,125,"363,797",143,"425,466",103,"234,603",155,"347,327",124,"299,593",138,"363,794",244,"485,086",230,"323,587","1,270","398,406","1,406","390,459",980,"266,527","1,074","341,510"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,송파구,"5,703","2,112,528","5,630","2,066,302","5,651","2,374,576","5,051","1,996,067","5,771","2,482,345","5,701","2,301,482","5,750","2,238,517","5,617","2,165,110","5,719","2,102,959","6,233","2,257,715","7,158","1,770,282","8,027","1,971,133"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,양천구,255,"692,069",273,"584,723",259,"574,031",316,"495,351",400,"596,629",709,"650,938","1,514","510,408","1,541","503,881","1,391","446,141","1,090","344,789","1,038","350,775","1,566","536,218"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,영등포구,"3,447","2,123,783","3,260","2,571,817","3,215","2,500,059","2,985","2,267,720","3,588","2,896,729","2,912","2,487,072","2,791","2,495,701","2,941","2,453,374","3,077","2,557,631","4,805","2,718,115","3,857","2,143,308","4,975","2,358,103"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,용산구,"1,386","615,370","1,291","569,718","1,443","600,627","1,205","482,359","1,494","682,661","1,360","579,559","1,358","493,627","1,323","520,144","1,497","617,982","2,380","645,578","2,101","553,742","2,121","561,588"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,은평구,60,"182,866",63,"175,813",97,"189,829",248,"624,949",259,"110,921",319,"140,012",326,"112,924",442,"161,761",459,"151,644",384,"142,216",294,"96,197",370,"118,397"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,종로구,"12,636","3,089,126","10,195","2,772,299","12,651","3,368,167","13,121","3,384,354","11,230","3,025,577","12,226","3,409,493","11,772","3,034,023","12,089","3,147,775","14,601","4,025,468","16,827","4,035,313","11,970","2,841,935","13,157","3,160,698"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,중구,"1,240","757,501","1,125","648,603","1,245","542,499","1,080","532,586","1,346","690,430","1,097","473,077","1,305","463,745","1,271","444,435","1,414","452,500","1,947","451,138","2,197","526,127","2,180","522,440"
S01F,MYDRIATICS AND CYCLOPLEGICS,서울,중랑구,93,"85,169",178,"82,277",159,"93,940",112,"59,763",199,"110,992",95,"52,235",133,"74,239",921,"99,590",855,"99,118","1,089","108,432",808,"86,525",873,"94,941"
