ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
S01G,DECONGESTANTS AND ANTIALLERGICS,서울,강남구,"22,858","57,273,141","25,277","63,874,140","28,570","73,050,155","49,702","96,955,556","49,516","88,278,942","39,193","72,680,060","52,749","69,680,530","71,403","78,021,754","92,153","101,498,370","57,451","62,825,359","48,387","51,469,939","50,979","53,506,186"
S01G,DECONGESTANTS AND ANTIALLERGICS,서울,강동구,"18,784","42,847,785","19,390","43,984,501","22,094","48,799,116","39,618","67,893,362","40,053","66,673,103","31,923","50,648,088","45,468","47,926,417","55,177","54,574,306","67,580","66,661,758","51,674","45,853,791","46,867","39,666,074","49,177","40,369,711"
S01G,DECONGESTANTS AND ANTIALLERGICS,서울,강북구,"5,486","19,756,964","5,682","19,928,050","6,054","22,041,497","15,041","30,223,092","15,396","28,843,565","12,851","23,179,355","23,476","21,704,199","28,269","25,843,680","32,372","30,445,837","22,434","19,775,903","19,493","16,640,403","20,458","18,408,924"
S01G,DECONGESTANTS AND ANTIALLERGICS,서울,강서구,"10,465","26,289,233","8,627","25,780,997","9,064","30,599,080","24,244","43,817,531","22,940","38,541,771","19,948","31,059,488","23,592","29,006,888","30,795","34,122,034","37,191","40,664,619","21,886","24,299,004","19,477","20,673,731","19,766","20,464,880"
S01G,DECONGESTANTS AND ANTIALLERGICS,서울,관악구,"5,731","20,316,078","6,111","21,990,757","6,990","25,053,118","12,545","34,275,592","12,015","32,941,574","9,229","25,035,237","15,219","24,243,839","24,765","29,394,288","32,570","36,253,203","19,561","21,904,212","16,684","17,760,768","16,598","17,256,960"
S01G,DECONGESTANTS AND ANTIALLERGICS,서울,광진구,"6,561","16,215,239","7,125","17,990,081","7,388","20,803,806","19,138","28,210,639","18,742","26,160,970","17,219","22,632,818","22,083","21,569,900","30,004","26,740,353","35,897","32,252,116","23,985","20,789,678","18,082","15,731,059","18,127","15,637,263"
S01G,DECONGESTANTS AND ANTIALLERGICS,서울,구로구,"4,861","18,201,299","5,407","20,241,329","5,743","22,774,816","13,800","34,470,292","12,974","32,245,238","10,410","24,590,586","15,530","22,834,230","28,230","29,361,652","33,028","33,397,825","20,045","20,055,806","16,515","16,353,693","17,545","17,278,568"
S01G,DECONGESTANTS AND ANTIALLERGICS,서울,금천구,"3,583","13,378,593","4,232","14,987,049","4,367","16,385,307","11,059","22,306,679","10,495","20,571,391","9,648","17,733,128","15,565","16,775,757","24,154","19,841,217","25,751","22,409,613","16,907","14,016,519","16,952","13,122,690","17,281","13,068,155"
S01G,DECONGESTANTS AND ANTIALLERGICS,서울,노원구,"10,837","33,444,320","11,309","35,395,435","12,523","40,385,632","20,367","56,616,278","21,963","55,534,429","17,262","41,486,250","34,995","39,002,758","46,714","44,734,095","61,502","58,676,084","38,294","34,026,774","33,970","29,594,413","34,111","29,154,325"
S01G,DECONGESTANTS AND ANTIALLERGICS,서울,도봉구,"7,756","17,880,114","8,738","18,749,588","9,237","20,998,336","19,857","32,044,342","20,282","29,240,984","17,536","23,064,959","23,444","22,195,057","27,045","26,154,442","37,181","36,047,870","26,523","21,918,721","23,419","18,341,416","24,052","18,738,329"
S01G,DECONGESTANTS AND ANTIALLERGICS,서울,동대문구,"6,449","22,198,936","7,461","25,233,884","7,191","26,462,313","10,711","34,030,719","10,970","32,408,780","9,521","26,366,253","17,101","28,410,903","25,478","31,592,005","31,635","38,007,056","21,305","25,626,160","17,104","20,273,002","17,511","20,312,079"
