ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
S01K,SURGICAL AIDS,서울,강남구,244,"8,421,585",344,"12,323,699",351,"12,621,330",245,"8,397,354",276,"9,111,668",237,"7,577,372",243,"8,237,407",219,"7,457,712",247,"8,959,433",233,"7,464,809",183,"5,903,913",265,"7,600,206"
S01K,SURGICAL AIDS,서울,강동구,150,"4,039,345",172,"4,085,882",229,"5,179,061",167,"3,819,970",155,"3,782,632",184,"4,183,501",192,"4,323,748",198,"4,615,171",169,"4,183,420",210,"5,588,068",164,"4,165,453",187,"4,708,466"
S01K,SURGICAL AIDS,서울,강북구,83,"1,488,535",84,"1,428,891",88,"1,583,792",101,"1,726,999",58,"1,132,498",68,"1,158,436",89,"1,449,713",98,"1,595,785",83,"1,372,073",85,"1,454,268",43,"753,279",58,"1,065,902"
S01K,SURGICAL AIDS,서울,강서구,144,"3,319,525",115,"2,702,695",128,"2,802,229",69,"1,685,520",67,"1,216,635",106,"2,150,607",96,"1,976,266",167,"3,722,642",183,"4,522,691",123,"2,833,238",83,"1,967,296",101,"2,677,032"
S01K,SURGICAL AIDS,서울,관악구,49,"915,122",44,"810,624",27,"614,980",19,"287,280",17,"292,617",31,"506,206",34,"683,311",43,"1,004,875",19,"259,130",46,"639,032",32,"557,646",28,"466,860"
S01K,SURGICAL AIDS,서울,광진구,40,"995,020",36,"974,809",49,"1,203,616",44,"1,115,908",65,"1,586,113",37,"1,310,799",37,"1,176,449",39,"1,231,076",49,"1,323,674",56,"1,544,949",33,"1,025,068",33,"1,078,902"
S01K,SURGICAL AIDS,서울,구로구,29,"922,394",65,"1,924,765",41,"1,428,493",26,"763,055",20,"652,233",31,"1,167,746",62,"1,828,074",46,"1,636,515",32,"1,034,962",36,"1,559,564",30,"1,139,441",58,"2,072,132"
S01K,SURGICAL AIDS,서울,금천구,23,"456,633",29,"586,458",20,"445,725",24,"501,135",8,"128,077",21,"329,912",29,"603,643",43,"891,517",29,"580,469",20,"506,378",8,"117,920",8,"200,103"
S01K,SURGICAL AIDS,서울,노원구,123,"2,727,829",123,"2,728,144",130,"2,825,649",99,"2,352,067",62,"1,882,193",82,"2,198,970",94,"2,698,627",111,"2,674,184",85,"2,212,132",69,"1,360,434",84,"2,030,945",62,"1,577,029"
S01K,SURGICAL AIDS,서울,도봉구,15,"307,759",11,"262,441",27,"452,822",8,"116,938",16,"401,759",6,"132,775",16,"302,365",17,"331,852",14,"253,699",20,"441,320",9,"176,855",14,"340,953"
S01K,SURGICAL AIDS,서울,동대문구,123,"2,494,728",154,"2,860,306",144,"2,703,015",118,"2,166,305",155,"2,945,784",162,"3,261,971",157,"3,423,765",170,"3,557,311",155,"3,235,489",119,"2,635,793",81,"1,706,727",92,"2,240,884"
S01K,SURGICAL AIDS,서울,동작구,149,"2,265,934",183,"2,766,888",116,"1,925,428",126,"1,725,490",133,"2,179,597",120,"1,540,438",129,"2,207,466",153,"2,412,680",135,"1,769,519",140,"2,065,423",97,"1,636,892",123,"2,260,774"
S01K,SURGICAL AIDS,서울,마포구,26,"431,694",19,"441,781",44,"887,793",15,"347,412",7,"162,447",21,"392,748",14,"263,902",22,"449,296",25,"632,032",18,"431,029",11,"306,178",21,"554,026"
S01K,SURGICAL AIDS,서울,서대문구,113,"3,663,617",160,"5,816,490",127,"4,854,656",106,"3,738,496",136,"5,662,307",120,"4,047,582",142,"5,855,821",102,"3,695,834",105,"3,736,298",160,"5,612,540",98,"4,039,874",112,"4,682,570"
S01K,SURGICAL AIDS,서울,서초구,189,"7,446,681",174,"7,717,267",179,"8,026,015",161,"7,217,439",167,"6,642,682",159,"7,448,670",165,"7,113,940",177,"8,941,754",189,"9,152,005",203,"9,607,141",139,"7,452,695",170,"8,688,229"
S01K,SURGICAL AIDS,서울,성동구,45,"1,412,478",36,"1,582,011",31,"1,233,860",20,"1,183,401",22,"1,490,970",22,"1,155,981",34,"1,184,966",31,"1,328,609",25,"1,398,392",26,"994,770",20,"785,404",23,"1,122,652"
S01K,SURGICAL AIDS,서울,성북구,43,"1,353,805",58,"1,827,140",47,"1,618,168",35,"1,067,065",29,"809,364",44,"1,386,426",53,"1,650,448",51,"1,515,569",47,"1,347,817",47,"1,492,837",30,"988,267",36,"1,191,370"
S01K,SURGICAL AIDS,서울,송파구,225,"7,272,755",219,"6,606,748",244,"6,241,753",200,"4,968,476",267,"7,342,457",232,"6,547,518",244,"6,479,255",218,"5,598,258",209,"5,392,789",242,"6,472,842",175,"5,176,503",207,"6,151,657"
S01K,SURGICAL AIDS,서울,양천구,43,"1,109,281",42,"1,204,241",33,"953,145",38,"1,006,423",25,"731,436",23,"672,995",29,"1,102,873",42,"1,464,501",23,"760,855",12,"330,171",11,"308,991",29,"896,573"
S01K,SURGICAL AIDS,서울,영등포구,568,"12,542,585",580,"13,036,846",560,"12,491,737",518,"11,145,100",553,"11,975,092",460,"11,514,853",548,"13,275,608",553,"13,709,046",510,"11,961,896",496,"13,056,410",328,"8,283,059",468,"12,861,522"
S01K,SURGICAL AIDS,서울,용산구,89,"3,499,692",63,"2,285,173",61,"2,339,381",72,"2,926,245",69,"2,702,018",68,"2,624,411",46,"1,839,113",57,"2,337,191",46,"1,698,350",65,"2,194,181",65,"2,292,068",45,"1,781,295"
S01K,SURGICAL AIDS,서울,은평구,38,"591,701",66,"1,007,789",60,"843,882",28,"395,290",33,"467,412",27,"370,183",51,"727,057",51,"736,726",70,"1,118,919",52,"754,832",30,"453,103",36,"524,433"
S01K,SURGICAL AIDS,서울,종로구,331,"10,710,357",289,"9,554,241",269,"9,281,972",193,"6,801,306",260,"9,414,566",310,"11,131,082",295,"10,775,932",261,"9,028,009",295,"10,849,441",269,"9,867,121",195,"8,087,207",252,"11,102,768"
S01K,SURGICAL AIDS,서울,중구,130,"2,015,880",131,"2,139,656",127,"2,137,736",96,"1,651,198",131,"2,081,588",104,"1,647,769",103,"1,709,695",100,"1,694,040",128,"2,568,885",107,"2,035,252",69,"1,209,657",82,"1,560,842"
S01K,SURGICAL AIDS,서울,중랑구,76,"1,168,644",100,"1,267,612",86,"1,365,078",62,"886,299",98,"1,321,368",60,"778,648",109,"1,554,184",111,"1,619,823",93,"1,181,303",101,"1,256,672",70,"937,568",108,"1,670,247"
