ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
S01L,OCULAR VASCULAR DISORDER AGENTS,서울,강남구,"88,065","276,247,116","94,845","357,564,484","93,529","310,964,606","88,852","323,845,666","90,823","305,816,848","89,138","302,609,063","87,981","353,831,266","87,793","349,981,124","89,194","325,739,259","96,679","349,701,666","77,972","261,819,333","78,888","337,310,690"
S01L,OCULAR VASCULAR DISORDER AGENTS,서울,강동구,"183,440","136,326,992","172,812","116,282,185","159,260","139,808,803","177,772","139,755,511","175,960","140,719,096","161,809","125,608,562","172,133","111,947,954","160,696","133,034,023","171,396","129,368,670","178,656","133,809,563","154,317","103,352,629","154,499","129,277,665"
S01L,OCULAR VASCULAR DISORDER AGENTS,서울,강북구,"57,679","13,601,290","53,185","12,524,712","59,196","13,966,064","60,530","14,273,946","61,993","14,628,780","62,512","14,753,912","58,312","13,749,344","62,833","14,819,832","59,303","13,995,653","65,592","15,477,138","58,005","13,921,200","57,303","13,751,645"
S01L,OCULAR VASCULAR DISORDER AGENTS,서울,강서구,"83,309","52,183,332","73,308","47,893,842","68,574","44,431,066","71,747","52,459,344","75,353","47,912,340","67,329","52,260,448","75,271","54,318,610","77,669","53,844,780","76,334","44,866,746","72,254","51,633,104","73,282","38,423,624","74,291","42,071,976"
S01L,OCULAR VASCULAR DISORDER AGENTS,서울,관악구,"32,808","7,722,366","34,716","8,165,508","33,401","7,871,718","32,034","7,535,136","34,271","8,075,244","35,984","8,466,156","33,846","7,972,200","32,785","7,717,014","32,438","7,634,136","35,972","8,468,598","30,308","7,273,920","29,501","7,080,240"
S01L,OCULAR VASCULAR DISORDER AGENTS,서울,광진구,"30,150","61,697,564","31,922","46,347,554","26,771","54,763,834","29,622","35,326,280","32,575","40,447,606","28,600","28,673,176","29,479","36,309,870","34,155","39,218,354","26,675","33,023,970","25,759","39,514,538","30,447","32,894,000","29,040","45,685,328"
S01L,OCULAR VASCULAR DISORDER AGENTS,서울,구로구,"54,390","31,729,990","61,624","32,732,544","59,190","26,991,640","61,175","32,408,604","44,938","28,707,816","40,222","15,671,626","41,187","22,134,332","41,540","20,689,182","31,389","22,213,900","40,396","24,352,576","32,007","20,496,452","33,735","21,941,340"
S01L,OCULAR VASCULAR DISORDER AGENTS,서울,금천구,"33,136","7,914,570","34,537","9,945,512","30,430","7,266,840","31,284","7,471,890","34,296","8,191,980","32,890","7,852,067","33,987","8,120,495","28,578","6,826,130","35,058","9,306,051","33,204","7,928,271","29,848","7,162,910","28,902","6,935,828"
S01L,OCULAR VASCULAR DISORDER AGENTS,서울,노원구,"99,807","55,481,580","98,673","42,176,808","93,922","45,307,354","99,538","39,381,660","80,988","46,784,650","93,891","42,926,996","95,016","55,577,548","90,885","42,978,416","103,053","41,498,368","102,810","56,618,412","91,890","60,722,848","90,749","61,796,310"
S01L,OCULAR VASCULAR DISORDER AGENTS,서울,도봉구,"26,757","8,007,451","23,708","6,530,620","27,545","6,489,319","22,791","7,933,343","24,719","5,829,679","25,343","5,973,750","21,426","5,917,738","26,008","6,133,669","29,898","7,900,546","21,798","5,145,492","22,002","6,132,028","26,977","6,474,484"
S01L,OCULAR VASCULAR DISORDER AGENTS,서울,동대문구,"167,626","114,051,265","167,627","136,197,369","173,882","108,760,419","165,944","103,056,510","173,278","119,173,037","156,866","101,845,941","158,332","102,481,762","156,369","116,352,568","173,685","122,556,276","173,814","114,737,206","157,055","104,583,002","164,815","116,346,648"
S01L,OCULAR VASCULAR DISORDER AGENTS,서울,동작구,"36,836","41,741,881","49,439","62,018,447","47,284","41,108,355","42,082","58,552,862","50,388","56,733,451","44,552","53,575,556","45,061","57,881,119","49,954","50,357,466","46,139","45,491,457","48,181","46,069,327","39,520","38,551,766","40,316","48,518,947"
S01L,OCULAR VASCULAR DISORDER AGENTS,서울,마포구,"24,778","8,525,670","25,593","8,615,412","23,990","5,674,488","34,419","9,034,498","27,338","6,480,252","27,607","7,491,370","32,668","9,522,644","21,582","8,692,217","20,386","9,361,005","30,706","10,015,416","21,908","7,139,636","24,615","6,848,458"
S01L,OCULAR VASCULAR DISORDER AGENTS,서울,서대문구,"86,311","98,143,870","93,545","105,278,820","86,289","97,985,625","90,937","107,060,676","81,136","114,717,857","83,018","103,670,540","86,985","127,904,851","69,954","91,240,863","78,012","103,611,893","85,449","103,052,153","73,413","103,964,090","74,619","88,032,566"
