ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
S01X,OTHER OPHTHALMOLOGICALS,서울,강남구,"1,873,347","891,365,629","1,769,136","834,898,495","1,647,429","767,284,125","1,623,886","744,364,926","1,780,407","808,141,368","1,613,627","731,604,001","1,735,658","770,628,500","1,742,693","746,300,290","1,899,170","811,481,773","1,926,116","820,107,594","1,699,444","716,759,321","1,822,389","753,742,173"
S01X,OTHER OPHTHALMOLOGICALS,서울,강동구,"563,635","286,494,574","529,292","265,931,092","509,203","251,833,614","550,923","261,731,346","574,128","265,229,027","518,972","242,583,540","567,299","246,133,362","616,773","255,955,807","641,867","258,638,392","816,839","268,487,011","710,049","239,505,865","734,115","240,758,697"
S01X,OTHER OPHTHALMOLOGICALS,서울,강북구,"253,879","150,981,015","241,426","140,547,924","227,516","136,098,175","271,111","138,609,353","294,857","149,078,042","268,452","135,234,893","344,166","141,105,550","352,736","141,037,916","351,000","138,370,819","356,003","138,827,151","303,966","119,715,244","314,799","125,201,395"
S01X,OTHER OPHTHALMOLOGICALS,서울,강서구,"428,684","213,163,485","373,093","188,241,174","374,648","192,119,132","386,558","184,774,304","437,314","204,198,799","394,587","186,835,208","428,093","192,604,258","442,630","189,005,661","449,008","191,006,553","455,480","193,529,059","403,104","167,674,879","402,878","163,028,359"
S01X,OTHER OPHTHALMOLOGICALS,서울,관악구,"263,835","124,086,562","255,588","118,754,519","241,116","113,880,817","258,834","115,625,913","274,961","123,348,342","257,526","114,977,904","289,839","118,936,212","324,435","121,700,963","355,135","128,221,880","355,837","126,795,820","307,904","108,447,321","303,308","107,359,653"
S01X,OTHER OPHTHALMOLOGICALS,서울,광진구,"211,556","114,456,990","190,907","102,343,417","196,599","108,804,185","215,112","109,443,572","226,037","110,275,291","202,760","98,302,338","231,158","106,184,870","235,352","104,267,416","233,238","102,826,317","239,196","105,944,421","187,740","82,575,621","187,452","84,192,297"
S01X,OTHER OPHTHALMOLOGICALS,서울,구로구,"285,316","142,183,620","281,606","139,666,608","258,572","128,583,639","279,683","131,320,386","297,175","139,385,454","274,767","127,872,984","306,890","128,019,357","351,006","134,679,813","358,492","131,926,269","351,768","131,956,623","306,827","115,935,693","295,970","112,045,424"
S01X,OTHER OPHTHALMOLOGICALS,서울,금천구,"150,484","87,171,083","159,491","92,174,689","153,969","89,683,850","170,950","93,443,269","187,471","99,643,819","171,159","89,356,018","215,881","93,337,547","216,924","90,041,696","224,766","93,377,256","224,005","92,143,699","194,940","77,596,799","209,404","80,764,982"
S01X,OTHER OPHTHALMOLOGICALS,서울,노원구,"498,577","239,548,890","467,293","224,618,947","462,461","221,631,681","458,646","215,953,120","497,604","231,259,916","438,708","207,647,787","543,369","216,172,740","580,581","219,306,513","601,569","224,823,146","598,089","218,930,409","529,502","192,752,349","524,154","194,084,725"
S01X,OTHER OPHTHALMOLOGICALS,서울,도봉구,"233,782","127,168,370","224,691","123,041,720","219,373","120,923,879","277,115","133,569,317","291,000","140,197,281","260,637","121,455,023","286,265","124,855,044","300,826","131,571,304","288,626","124,561,599","287,383","123,447,103","269,538","112,607,259","268,342","111,824,935"
