ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
S02A,ANTIINFECTIVES,서울,강남구,916,"2,198,854",903,"2,152,927",934,"2,216,327","1,897","2,401,991","2,817","2,923,213","2,509","2,662,664","3,257","2,231,414","3,428","2,148,090","4,095","2,104,870","4,308","2,196,869","4,049","2,126,985","4,083","2,008,556"
S02A,ANTIINFECTIVES,서울,강동구,555,"1,181,343",561,"1,206,867",544,"1,165,893",998,"1,231,756","1,399","1,468,088","1,327","1,264,383","1,562","1,039,584","1,853","1,193,198","1,864","1,115,628","2,030","990,821","2,055","966,546","2,152","989,731"
S02A,ANTIINFECTIVES,서울,강북구,202,"505,815",196,"489,745",216,"546,290",551,"579,355",853,"800,601",691,"639,815",830,"607,885","1,173","714,440","1,082","615,694","1,011","549,990","1,199","663,266","1,315","675,510"
S02A,ANTIINFECTIVES,서울,강서구,390,"963,540",323,"795,165",381,"942,690",938,"1,049,583","1,486","1,399,824","1,135","1,037,405","1,313","841,739","1,571","923,204","1,541","919,225","1,781","1,017,280","1,403","772,662","1,651","847,550"
S02A,ANTIINFECTIVES,서울,관악구,369,"922,840",342,"855,845",420,"1,053,345","1,417","1,218,110","1,398","1,225,783","1,216","998,760","1,209","865,768","1,285","902,364","1,349","910,308","1,461","859,141","1,578","816,684","1,748","914,848"
S02A,ANTIINFECTIVES,서울,광진구,718,"1,754,612",718,"1,737,927",736,"1,795,528","1,531","1,982,750","1,942","2,223,467","1,830","2,108,941","2,331","1,705,727","2,456","1,876,031","2,167","1,643,769","2,223","1,536,225","2,095","1,665,366","2,044","1,500,159"
S02A,ANTIINFECTIVES,서울,구로구,369,"906,390",405,"1,001,755",344,"849,295",780,"991,085","1,044","1,327,619",712,"936,688","1,234","878,688","1,763","943,930","1,657","881,890","1,712","849,415","1,579","815,156","1,855","938,630"
S02A,ANTIINFECTIVES,서울,금천구,231,"576,065",212,"524,021",194,"481,680",596,"464,589","1,127","774,237",669,"467,278",914,"652,840",833,"571,050",874,"483,695",879,"442,268",776,"394,680",790,"399,740"
S02A,ANTIINFECTIVES,서울,노원구,354,"893,048",359,"896,280",369,"935,409",647,"944,352","1,019","1,319,144",903,"1,126,038","1,152","911,881","1,445","910,125","1,799","998,516","1,799","988,803","1,662","879,822","1,662","881,928"
S02A,ANTIINFECTIVES,서울,도봉구,243,"606,540",263,"655,565",230,"571,750",571,"584,955",722,"642,555",658,"540,033",765,"496,650",903,"493,795","1,058","551,450","1,045","549,325","1,032","526,240",876,"445,280"
