ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
V03A,ALL OTHER THERAPEUTIC PRODUCTS,서울,강남구,"167,215","165,369,374","172,806","169,840,178","166,691","167,449,952","189,918","191,956,448","204,874","204,452,846","176,019","189,794,892","191,663","200,367,387","182,160","212,412,972","251,034","192,511,584","273,013","217,908,414","218,982","164,283,393","266,724","164,961,379"
V03A,ALL OTHER THERAPEUTIC PRODUCTS,서울,강동구,"140,763","95,779,283","139,819","98,823,088","144,639","103,268,434","135,847","93,079,003","153,559","111,161,221","138,514","99,920,070","188,135","103,819,738","187,245","97,100,489","186,046","103,261,194","248,151","95,757,491","229,659","94,903,228","294,285","104,624,073"
V03A,ALL OTHER THERAPEUTIC PRODUCTS,서울,강북구,"32,635","16,411,492","33,884","16,644,448","32,044","16,600,622","32,430","16,585,136","32,917","17,562,734","31,374","15,821,797","39,645","15,116,497","33,527","14,101,998","36,276","16,364,772","37,201","14,382,348","32,251","15,487,972","36,693","15,113,432"
V03A,ALL OTHER THERAPEUTIC PRODUCTS,서울,강서구,"68,286","35,326,487","65,326","33,869,889","69,270","37,677,080","80,852","34,193,934","83,629","34,833,496","80,226","31,992,466","81,744","28,906,186","84,917","28,756,520","86,819","27,477,595","90,837","31,451,391","80,516","24,762,720","88,546","27,856,345"
V03A,ALL OTHER THERAPEUTIC PRODUCTS,서울,관악구,"41,153","17,998,729","46,079","22,487,590","42,748","18,949,412","43,111","21,759,157","46,558","19,199,709","45,259","21,114,610","45,853","20,720,874","45,793","20,222,765","47,849","20,191,047","51,937","22,843,714","54,944","20,750,528","55,252","21,077,210"
V03A,ALL OTHER THERAPEUTIC PRODUCTS,서울,광진구,"52,571","61,401,378","61,039","75,404,455","56,284","73,738,411","58,559","67,718,176","61,389","84,701,093","56,670","68,632,732","57,136","72,543,737","60,958","75,572,744","43,827","66,974,378","53,403","69,050,789","49,219","55,982,648","56,634","68,552,734"
V03A,ALL OTHER THERAPEUTIC PRODUCTS,서울,구로구,"89,047","102,629,501","93,703","102,156,385","90,546","97,670,182","90,288","94,369,564","105,432","110,872,450","96,523","98,748,685","97,509","96,394,711","111,915","98,888,806","137,034","88,954,130","124,208","81,926,838","157,503","87,320,450","151,824","81,521,030"
V03A,ALL OTHER THERAPEUTIC PRODUCTS,서울,금천구,"15,850","7,837,625","14,956","7,924,499","15,783","8,048,919","14,177","7,337,821","17,063","8,158,070","12,469","6,494,812","15,544","8,528,525","14,800","6,855,517","12,631","5,609,095","13,468","5,548,702","16,837","7,654,094","15,416","7,396,541"
V03A,ALL OTHER THERAPEUTIC PRODUCTS,서울,노원구,"193,212","118,050,471","151,994","115,308,449","158,195","111,129,244","184,255","115,210,022","158,489","119,317,305","150,269","118,668,717","161,967","115,788,483","156,156","116,849,593","177,922","109,848,996","174,675","107,405,724","190,334","102,146,232","212,231","123,934,183"
V03A,ALL OTHER THERAPEUTIC PRODUCTS,서울,도봉구,"37,698","24,554,855","32,198","21,670,459","36,737","25,502,515","34,531","20,175,543","39,476","26,567,997","38,042","23,855,588","36,950","25,404,573","33,212","21,018,121","40,796","21,825,574","65,249","25,796,950","67,279","25,458,204","65,880","25,774,337"
