ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
V08A,"X-RAY CONTRAST MEDIA, IODINATED",서울,강남구,"14,143","845,689,535","18,813","1,031,526,117","23,720","992,718,045","65,745","1,006,956,628","76,058","1,133,906,728","69,675","962,461,691","87,413","1,029,676,954","93,569","1,072,808,924","1,367,977","959,280,268","1,595,438","1,111,190,548","1,284,505","904,513,331","1,871,560","962,300,183"
V08A,"X-RAY CONTRAST MEDIA, IODINATED",서울,강동구,"10,447","305,695,017","10,304","317,333,481","9,765","308,455,158","35,417","296,327,026","39,218","323,960,599","45,657","320,859,819","405,633","310,030,173","398,647","299,889,772","558,538","295,883,504","614,072","328,292,837","524,849","272,034,615","579,127","304,211,184"
V08A,"X-RAY CONTRAST MEDIA, IODINATED",서울,강북구,955,"34,749,888","1,021","36,609,832",995,"33,466,540","2,512","30,165,540","3,423","38,825,051","27,250","38,493,127","39,394","35,568,088","47,308","38,791,516","69,805","39,407,101","72,977","38,199,692","64,495","33,571,967","71,113","36,262,192"
V08A,"X-RAY CONTRAST MEDIA, IODINATED",서울,강서구,"1,385","40,828,697","1,359","41,156,298","1,432","36,113,501","29,832","35,065,906","38,805","52,154,641","34,789","34,412,307","62,533","36,971,744","64,961","39,745,499","64,502","34,637,132","70,654","37,443,856","62,543","33,499,472","59,985","31,597,017"
V08A,"X-RAY CONTRAST MEDIA, IODINATED",서울,관악구,"1,891","75,031,655","1,895","69,284,521","1,951","68,523,758","3,876","62,691,572","5,243","69,950,183","5,174","67,306,581","19,611","67,887,353","28,449","73,195,294","24,860","66,873,088","24,610","78,659,694","102,533","63,470,900","146,316","80,485,340"
V08A,"X-RAY CONTRAST MEDIA, IODINATED",서울,광진구,"1,986","140,411,793","3,092","176,918,481","2,401","183,472,993","8,507","174,708,768","11,561","187,280,032","13,051","194,336,607","14,142","179,029,886","1,337,971","193,372,394","45,721","190,566,241","268,668","197,579,763","244,852","174,062,727","286,941","183,939,031"
V08A,"X-RAY CONTRAST MEDIA, IODINATED",서울,구로구,"9,618","322,051,203","9,348","307,922,674","9,193","325,728,902","54,295","282,682,229","65,154","327,948,539","62,225","326,684,298","67,324","319,389,571","65,617","322,917,115","452,067","327,982,580","480,531","310,552,595","414,599","275,666,699","572,923","308,293,530"
V08A,"X-RAY CONTRAST MEDIA, IODINATED",서울,금천구,500,"9,673,077",452,"10,352,682",460,"10,281,515","1,030","20,389,091","1,743","25,597,855",939,"25,227,246","29,618","22,339,240","46,076","27,181,878","37,236","22,049,926","50,224","29,491,365","38,230","21,633,349","44,278","25,578,655"
V08A,"X-RAY CONTRAST MEDIA, IODINATED",서울,노원구,"6,449","363,240,770","6,156","375,363,158","5,991","346,498,636","9,230","331,299,675","10,531","369,844,195","8,851","368,499,610","18,828","362,342,584","26,524","370,855,921","154,014","353,645,037","259,341","389,480,391","290,987","330,191,606","363,650","382,005,597"
V08A,"X-RAY CONTRAST MEDIA, IODINATED",서울,도봉구,"1,421","78,410,184","1,812","77,458,677","2,958","71,105,114","29,721","76,033,342","41,060","82,273,676","39,685","80,615,747","38,612","74,571,266","44,438","79,976,457","49,701","73,895,344","134,483","76,923,257","116,794","64,121,652","127,145","69,653,948"
