ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,서울,강남구,"3,898","243,122,982","4,192","265,559,037","4,472","288,334,015","4,224","275,036,402","4,671","299,931,321","4,115","268,094,385","4,161","280,443,527","4,313","290,691,711","4,306","293,488,437","4,542","316,775,245","3,898","268,027,595","4,293","303,321,608"
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,서울,강동구,516,"31,244,760",512,"30,046,112",563,"33,895,376",517,"30,630,722",533,"31,821,806",513,"30,937,666",504,"30,386,338",525,"31,424,222",451,"27,340,707",522,"31,674,574",425,"26,448,226",467,"27,798,683"
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,서울,강북구,3,"213,456",4,"153,284",3,"102,933",3,"254,898",2,"98,700",2,"98,700",5,"218,167",2,"113,047",2,"100,256",3,"106,973",-,-,1,"35,114"
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,서울,강서구,20,"1,055,209",14,"911,870",20,"1,063,490",20,"789,158",13,"715,820",11,"630,782",15,"834,968",15,"977,783",15,"646,560",12,"650,534",15,"942,582",14,"803,201"
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,서울,관악구,42,"2,100,019",43,"1,936,179",44,"2,321,153",44,"1,956,377",38,"1,751,204",61,"2,909,034",55,"2,538,644",43,"1,971,632",48,"1,965,856",46,"2,714,474",32,"1,502,479",39,"2,030,847"
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,서울,광진구,451,"27,494,029",583,"38,638,907",557,"36,203,872",564,"36,518,167",574,"37,704,789",566,"38,570,297",586,"41,680,979",545,"37,004,794",536,"38,195,511",590,"38,702,921",516,"34,548,873",528,"35,176,218"
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,서울,구로구,781,"68,476,871",866,"76,532,830",834,"74,262,972",731,"62,649,314",834,"73,833,169",866,"76,236,055",824,"72,001,422",814,"72,009,881",752,"70,792,237",782,"74,014,754",666,"60,931,698",678,"60,814,607"
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,서울,금천구,2,"105,987",3,"117,880",4,"160,780",4,"190,230",4,"160,668",2,"84,204",2,"80,334",3,"164,681",2,"80,334",3,"120,501",1,"40,279",5,"223,432"
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,서울,노원구,589,"39,406,286",627,"41,151,955",564,"38,684,966",539,"36,674,373",577,"39,042,620",585,"39,482,899",539,"35,476,615",530,"36,125,454",476,"32,831,488",558,"38,869,645",453,"31,483,367",546,"38,611,733"
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,서울,도봉구,73,"4,186,593",77,"4,381,778",68,"4,065,121",84,"4,615,745",73,"4,205,812",66,"3,626,311",64,"3,884,063",73,"4,045,072",84,"5,511,524",84,"4,891,895",69,"3,982,028",100,"5,939,787"
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,서울,동대문구,446,"19,713,578",448,"22,237,698",528,"30,012,102",467,"26,176,335",571,"32,203,891",471,"25,462,240",504,"28,054,436",516,"27,933,356",516,"28,887,152",537,"29,371,126",469,"25,836,922",495,"28,007,924"
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,서울,동작구,659,"45,761,687",612,"41,263,245",605,"40,731,153",577,"39,838,322",649,"43,875,328",650,"44,518,107",661,"45,264,818",635,"44,059,636",598,"41,379,057",705,"48,889,345",530,"36,196,316",678,"41,236,659"
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,서울,마포구,2,"92,508",1,"46,254",3,"116,448",3,"107,840",-,-,1,"46,254",-,-,-,-,1,"27,905",1,"46,254",1,"47,888",-,-
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,서울,서대문구,"3,608","252,204,018","3,439","240,306,479","3,506","239,186,495","3,219","224,472,239","3,684","252,104,115","3,393","226,250,747","3,189","218,700,368","3,163","213,375,452","3,123","213,101,480","2,356","150,653,562","1,937","132,074,871","2,070","134,577,971"
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,서울,서초구,905,"66,270,233",947,"67,902,426",963,"69,683,199",919,"67,642,659","1,036","74,417,224",916,"65,338,477",952,"69,751,999",924,"68,557,572",949,"67,832,842","1,014","74,141,746",812,"60,443,044",691,"46,941,294"
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,서울,성동구,207,"14,361,991",225,"15,017,657",241,"16,360,045",214,"15,593,492",202,"13,387,693",210,"14,834,929",216,"15,303,992",168,"11,526,771",198,"13,246,576",238,"16,703,914",222,"15,065,973",189,"13,370,985"
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,서울,성북구,634,"37,076,810",674,"39,406,104",662,"40,481,285",670,"39,653,437",666,"39,754,518",678,"40,557,262",634,"39,391,738",688,"43,189,367",607,"38,386,672",736,"46,006,785",617,"39,008,871",682,"45,639,264"
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,서울,송파구,"3,282","174,552,783","3,280","176,595,190","3,394","178,778,397","3,073","160,120,328","3,357","178,075,529","3,369","183,251,825","3,228","176,242,419","2,144","104,916,815","2,068","104,928,836","2,534","128,777,310","1,854","94,733,460","2,595","134,882,969"
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,서울,양천구,535,"37,631,107",543,"37,501,847",549,"37,361,509",508,"37,287,850",566,"43,963,152",548,"43,795,141",512,"49,037,848",586,"56,925,155",525,"49,323,999",551,"53,175,829",514,"52,256,434",443,"45,534,039"
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,서울,영등포구,496,"28,834,989",532,"30,272,997",493,"27,813,436",452,"26,097,330",507,"28,970,562",545,"30,528,891",516,"29,989,181",483,"26,808,693",471,"27,080,433",534,"30,744,396",473,"28,651,739",498,"28,332,738"
