ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
V09B,SKELETON,서울,강남구,516,"7,219,845",,,,,,,618,"8,711,665",536,"7,550,509",580,"8,167,849",634,"8,936,305",584,"8,211,609",,,596,"8,366,549",651,"9,143,649"
V09B,SKELETON,서울,강동구,94,"1,322,290",,,,,,,102,"1,435,788",97,"1,359,816",93,"1,298,358",102,"1,429,269",89,"1,251,429",,,79,"1,101,141",90,"1,253,160"
V09B,SKELETON,서울,강북구,10,"150,287",,,,,,,8,"121,200",10,"150,288",10,"150,286",9,"135,743",10,"137,845",,,5,"72,720",9,"126,047"
V09B,SKELETON,서울,강서구,2,"36,138",,,,,,,2,"32,172",3,"50,682",4,"59,803",3,"40,104",3,"44,952",,,0,"4,848",2,"27,765"
V09B,SKELETON,서울,관악구,16,"235,040",,,,,,,25,"371,949",19,"283,809",16,"235,040",13,"190,970",15,"220,350",,,15,"220,350",12,"176,280"
V09B,SKELETON,서울,광진구,68,"995,154",,,,,,,80,"1,178,648",67,"985,166",66,"974,119",78,"1,144,712",69,"1,012,903",,,74,"1,081,980",81,"1,183,934"
V09B,SKELETON,서울,구로구,37,"405,458",,,,,,,42,"458,357",39,"429,010",42,"463,000",44,"481,681",43,"476,096",,,63,"685,268",76,"829,818"
V09B,SKELETON,서울,금천구,-,-,,,,,,,-,-,-,-,-,-,0,"4,848",0,"1,089",,,-,-,-,-
V09B,SKELETON,서울,노원구,215,"3,051,775",,,,,,,221,"3,157,701",219,"3,113,036",207,"2,944,445",191,"2,720,139",183,"2,606,268",,,169,"2,411,828",179,"2,558,012"
V09B,SKELETON,서울,도봉구,30,"408,768",,,,,,,20,"275,558",23,"318,408",25,"351,665",23,"320,738",23,"320,738",,,30,"401,778",21,"280,491"
V09B,SKELETON,서울,동대문구,103,"1,496,448",,,,,,,125,"1,821,217",119,"1,729,293",119,"1,727,325",124,"1,799,561",105,"1,533,488",,,104,"1,508,821",115,"1,654,263"
V09B,SKELETON,서울,동작구,191,"2,732,842",,,,,,,229,"3,285,505",222,"3,180,161",203,"2,903,919",204,"2,918,994",215,"3,064,140",,,204,"2,918,027",216,"3,089,046"
V09B,SKELETON,서울,서대문구,482,"6,808,641",,,,,,,448,"6,360,799",436,"6,151,404",500,"7,109,831",517,"7,411,118",483,"6,908,792",,,272,"3,969,080",264,"3,843,720"
V09B,SKELETON,서울,서초구,296,"4,347,045",,,,,,,331,"4,857,696",299,"4,387,440",297,"4,358,352",300,"4,411,679",299,"4,392,287",,,258,"3,786,288",243,"3,563,280"
V09B,SKELETON,서울,성동구,61,"837,900",,,,,,,87,"1,196,957",69,"940,554",78,"1,071,829",86,"1,171,733",63,"857,558",,,61,"846,191",75,"1,036,034"
V09B,SKELETON,서울,성북구,90,"982,842",,,,,,,98,"1,064,965",84,"915,236",95,"1,031,478",90,"974,029",99,"1,086,357",,,90,"980,990",99,"1,070,622"
V09B,SKELETON,서울,송파구,572,"7,279,811",,,,,,,623,"7,912,998",585,"7,429,698",569,"7,209,594",308,"3,966,247",336,"4,326,443",,,272,"3,496,660",375,"4,803,724"
V09B,SKELETON,서울,양천구,155,"2,278,419",,,,,,,147,"2,163,837",148,"2,181,465",131,"1,930,266",142,"2,080,275",140,"2,055,473",,,122,"1,798,056",139,"2,045,601"
V09B,SKELETON,서울,영등포구,126,"1,795,685",,,,,,,121,"1,713,146",131,"1,860,200",135,"1,916,704",139,"1,978,485",131,"1,855,592",,,118,"1,677,914",148,"2,116,228"
V09B,SKELETON,서울,용산구,77,"1,071,103",,,,,,,72,"1,000,587",79,"1,106,640",80,"1,120,473",73,"1,019,032",69,"963,701",,,59,"822,109",77,"1,078,974"
V09B,SKELETON,서울,은평구,-,-,,,,,,,-,-,-,-,-,-,-,-,0,"4,848",,,-,-,-,-
V09B,SKELETON,서울,종로구,315,"4,165,470",,,,,,,659,"8,631,839",320,"4,175,872",587,"7,759,868",324,"4,287,071",311,"4,153,046",,,280,"3,696,581",344,"4,533,513"
V09B,SKELETON,서울,중구,155,"2,216,417",,,,,,,137,"1,908,889",148,"2,064,791",133,"1,852,527",140,"1,954,117",139,"1,933,483",,,115,"1,608,870",146,"2,043,697"
V09B,SKELETON,서울,중랑구,28,"387,900",,,,,,,26,"367,650",24,"338,325",26,"362,150",33,"454,150",33,"462,500",,,26,"358,675",28,"388,600"
