ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
V09C,RENAL SYSTEM,서울,강남구,,,,,,,,,138,"4,640,694",,,,,,,,,,,,,106,"5,485,780"
V09C,RENAL SYSTEM,서울,강동구,,,,,,,,,12,"607,401",,,,,,,,,,,,,19,"903,107"
V09C,RENAL SYSTEM,서울,강북구,,,,,,,,,1,"17,080",,,,,,,,,,,,,1,"12,810"
V09C,RENAL SYSTEM,서울,관악구,,,,,,,,,1,"154,100",,,,,,,,,,,,,1,"9,922"
V09C,RENAL SYSTEM,서울,광진구,,,,,,,,,10,"194,074",,,,,,,,,,,,,5,"66,112"
V09C,RENAL SYSTEM,서울,구로구,,,,,,,,,18,"268,811",,,,,,,,,,,,,32,"426,884"
V09C,RENAL SYSTEM,서울,노원구,,,,,,,,,20,"545,444",,,,,,,,,,,,,26,"889,672"
V09C,RENAL SYSTEM,서울,도봉구,,,,,,,,,4,"44,972",,,,,,,,,,,,,2,"25,668"
V09C,RENAL SYSTEM,서울,동대문구,,,,,,,,,21,"414,662",,,,,,,,,,,,,22,"411,672"
V09C,RENAL SYSTEM,서울,동작구,,,,,,,,,76,"3,150,592",,,,,,,,,,,,,48,"1,583,276"
V09C,RENAL SYSTEM,서울,서대문구,,,,,,,,,152,"5,636,050",,,,,,,,,,,,,134,"6,338,274"
V09C,RENAL SYSTEM,서울,서초구,,,,,,,,,114,"2,695,212",,,,,,,,,,,,,74,"1,825,664"
V09C,RENAL SYSTEM,서울,성동구,,,,,,,,,30,"677,864",,,,,,,,,,,,,24,"587,716"
V09C,RENAL SYSTEM,서울,성북구,,,,,,,,,28,"476,318",,,,,,,,,,,,,38,"598,607"
V09C,RENAL SYSTEM,서울,송파구,,,,,,,,,261,"13,704,048",,,,,,,,,,,,,206,"10,313,824"
V09C,RENAL SYSTEM,서울,양천구,,,,,,,,,28,"742,473",,,,,,,,,,,,,30,"773,671"
V09C,RENAL SYSTEM,서울,영등포구,,,,,,,,,25,"461,480",,,,,,,,,,,,,12,"147,644"
V09C,RENAL SYSTEM,서울,용산구,,,,,,,,,20,"252,012",,,,,,,,,,,,,26,"342,380"
V09C,RENAL SYSTEM,서울,종로구,,,,,,,,,166,"6,093,743",,,,,,,,,,,,,131,"5,013,444"
V09C,RENAL SYSTEM,서울,중구,,,,,,,,,8,"378,004",,,,,,,,,,,,,10,"101,698"
V09C,RENAL SYSTEM,서울,중랑구,,,,,,,,,12,"159,659",,,,,,,,,,,,,6,"285,422"
