ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
V09F,THYROID,서울,강남구,"35,799","68,599,430","40,855","79,541,096","40,289","78,224,165","38,793","77,960,968","45,149","90,338,686","37,494","72,350,936","41,185","80,076,310","44,634","85,846,552","41,425","80,823,906","48,396","94,274,539","40,889","79,236,397","44,996","88,742,935"
V09F,THYROID,서울,강동구,"8,873","16,509,795","9,110","17,112,656","9,647","18,068,384","8,402","15,776,450","9,383","17,535,604","10,016","18,845,952","8,846","16,383,954","9,552","17,804,230","8,275","15,256,440","9,278","17,361,898","7,024","12,985,658","8,719","15,980,019"
V09F,THYROID,서울,강북구,648,"1,260,360",576,"1,118,120",526,"1,023,070",449,"867,805",566,"1,100,870",635,"1,235,075",587,"1,141,715",625,"1,215,625",594,"1,150,970",733,"1,425,685",303,"589,335",561,"1,091,145"
V09F,THYROID,서울,강서구,240,"466,800",390,"758,550",270,"525,150",150,"291,750",210,"408,450",320,"622,400",380,"739,100",270,"525,150",300,"583,500",300,"583,500",30,"58,350",180,"350,100"
V09F,THYROID,서울,관악구,405,"787,725",470,"914,150",410,"797,450",245,"476,525",650,"1,264,250",500,"972,500",490,"953,050",390,"758,550",395,"768,275",308,"604,274",400,"778,000",395,"768,275"
V09F,THYROID,서울,광진구,"4,866","9,464,370","5,258","10,258,908","6,031","11,724,685","6,018","11,697,640","5,945","11,555,985","5,345","10,417,607","5,550","10,788,480","6,017","11,693,715","5,220","10,182,050","5,623","10,927,605","5,444","10,609,370","6,034","11,759,890"
V09F,THYROID,서울,구로구,"7,927","14,599,281","8,799","16,161,917","7,978","14,637,014","7,618","14,008,584","8,852","16,262,716","8,286","15,215,988","8,393","15,455,099","8,922","16,405,866","8,362","15,422,676","9,288","17,080,404","6,976","12,796,648","8,545","15,714,785"
V09F,THYROID,서울,금천구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,"48,625",20,"36,660",-,-,-,-,-,-
V09F,THYROID,서울,노원구,"19,695","37,790,270","20,208","38,009,400","17,249","32,583,775","15,407","29,131,345","21,057","40,284,040","20,438","39,461,425","19,290","37,596,115","18,446","35,439,420","17,028","32,102,801","18,845","36,193,274","15,828","29,712,486","17,162","32,999,345"
V09F,THYROID,서울,도봉구,"2,179","4,238,155","2,095","4,100,845","2,010","3,909,450","1,675","3,292,635","1,640","3,189,800","1,775","3,452,375","1,899","3,693,555","1,750","3,403,750","1,790","3,481,550","1,680","3,267,600","1,965","3,821,925","1,435","2,791,075"
V09F,THYROID,서울,동대문구,"12,859","23,338,319","13,587","24,429,127","13,201","23,606,807","12,754","22,874,390","15,507","27,848,963","14,271","25,546,465","14,386","25,743,954","14,673","26,319,195","13,095","23,354,615","15,899","28,642,235","12,890","23,129,028","13,980","25,152,920"
V09F,THYROID,서울,동작구,"18,429","35,771,047","20,250","39,110,752","17,208","33,728,539","16,952","32,827,787","21,902","42,219,935","20,734","40,114,186","19,938","39,629,390","19,021","37,096,196","19,853","38,384,887","22,857","44,713,444","18,592","36,129,064","20,374","40,263,129"
V09F,THYROID,서울,서대문구,"53,327","104,046,616","51,672","100,978,363","48,757","95,268,980","43,424","84,700,823","50,178","98,168,757","45,556","89,046,210","47,109","92,026,190","50,019","97,537,453","47,827","93,320,227","23,370","45,454,650","20,895","40,640,775","20,467","39,811,791"
V09F,THYROID,서울,서초구,"23,162","45,195,163","24,606","48,145,122","23,812","46,339,161","21,529","41,818,065","25,144","49,051,900","23,460","45,437,375","23,024","44,570,188","23,240","45,171,875","23,052","44,727,226","25,163","48,918,775","19,851","38,725,600","16,998","32,992,360"
