ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
V09G,CARDIOVASCULAR SYSTEM,서울,강남구,76,"3,096,440",58,"2,862,203",47,"2,337,068",95,"4,397,621",99,"5,246,191",45,"2,825,186",65,"3,245,865",74,"4,625,072",65,"4,283,696",91,"5,466,124",56,"3,917,705",63,"3,836,226"
V09G,CARDIOVASCULAR SYSTEM,서울,강동구,486,"14,873,742",526,"15,543,172",466,"14,071,360",342,"10,456,264",445,"13,745,144",424,"12,502,166",444,"13,364,980",366,"10,685,932",372,"11,697,824",493,"14,524,172",442,"13,194,564",418,"12,495,108"
V09G,CARDIOVASCULAR SYSTEM,서울,관악구,-,-,-,-,-,-,-,-,-,-,-,-,1,"232,720",-,-,-,-,3,"137,710",-,-,2,"465,440"
V09G,CARDIOVASCULAR SYSTEM,서울,광진구,13,"2,523,200",12,"2,312,420",20,"3,830,220",21,"4,041,000",12,"2,412,960",16,"3,126,440",18,"3,629,140",16,"3,116,740",14,"2,815,120",22,"4,141,540",16,"3,226,980",22,"4,141,540"
V09G,CARDIOVASCULAR SYSTEM,서울,구로구,8,"598,070",11,"383,750",4,"541,500",3,"239,880",6,"1,015,100",5,"642,040",8,"609,400",4,"450,660",10,"829,880",10,"456,820",4,"67,900",4,"359,820"
V09G,CARDIOVASCULAR SYSTEM,서울,노원구,46,"2,037,690",50,"3,038,875",36,"1,239,785",40,"1,746,180",65,"2,355,325",58,"2,941,735",45,"1,660,495",36,"1,605,040",34,"1,199,025",48,"1,511,930",38,"1,748,325",40,"2,247,365"
V09G,CARDIOVASCULAR SYSTEM,서울,도봉구,24,"724,080",22,"669,760",7,"203,000",-,-,17,"464,200",11,"314,200",8,"222,400",15,"459,000",4,"111,200",4,"77,600",2,"38,800",5,"130,600"
V09G,CARDIOVASCULAR SYSTEM,서울,동대문구,36,"7,111,580",32,"6,393,600",24,"4,915,220",14,"1,787,700",33,"5,114,600",17,"3,071,320",16,"2,702,340",20,"4,292,580",19,"2,996,720",31,"4,553,320",25,"3,998,040",22,"3,140,140"
V09G,CARDIOVASCULAR SYSTEM,서울,동작구,336,"14,524,316",345,"15,161,336",282,"13,036,990",257,"11,631,260",393,"17,995,350",320,"15,594,660",372,"16,849,850",321,"13,910,990",364,"16,164,710",446,"21,002,920",333,"15,372,730",408,"18,578,420"
V09G,CARDIOVASCULAR SYSTEM,서울,서대문구,179,"30,708,465",191,"31,495,555",157,"26,915,832",126,"21,783,955",169,"28,770,279",158,"26,241,262",188,"31,869,024",188,"33,591,402",192,"34,454,084",24,"3,145,472",24,"3,564,202",26,"2,632,324"
V09G,CARDIOVASCULAR SYSTEM,서울,서초구,205,"7,281,800",140,"5,300,000",190,"6,098,960",159,"5,576,894",154,"5,336,820",184,"6,269,020",166,"6,249,060",181,"6,698,360",206,"7,294,380",206,"7,677,140",163,"5,124,680",17,"679,480"
V09G,CARDIOVASCULAR SYSTEM,서울,성동구,170,"12,042,952",140,"9,891,872",126,"10,870,960",206,"12,338,108",114,"9,873,740",176,"12,828,468",212,"12,239,404",130,"10,932,632",121,"9,843,772",172,"11,475,728",142,"9,390,416",189,"11,352,232"
V09G,CARDIOVASCULAR SYSTEM,서울,성북구,4,"541,500",2,"502,700",4,"723,180",2,"402,160",7,"1,316,720",4,"541,500",8,"733,840",10,"944,620",2,"301,620",5,"823,720",2,"210,780",3,"421,560"
V09G,CARDIOVASCULAR SYSTEM,서울,송파구,"1,597","49,419,784","1,732","53,599,480","1,486","44,387,440","1,564","47,611,180","1,751","53,398,200","1,820","55,022,660","1,858","56,916,900","1,100","33,210,720","1,008","30,495,120","1,178","35,167,440",920,"27,176,800","1,383","41,359,359"
V09G,CARDIOVASCULAR SYSTEM,서울,양천구,37,"4,178,387",32,"4,328,822",32,"3,150,031",20,"3,055,960",48,"5,565,293",45,"4,593,720",32,"3,399,271",35,"5,321,800",26,"4,520,771",27,"3,588,720",31,"4,096,880",28,"3,718,371"
V09G,CARDIOVASCULAR SYSTEM,서울,영등포구,12,"356,880",8,"551,394",9,"662,987",14,"406,000",6,"225,907",17,"540,107",18,"593,107",10,"700,467",12,"367,200",24,"713,110",16,"554,307",13,"618,426"
V09G,CARDIOVASCULAR SYSTEM,서울,용산구,11,"940,120",14,"816,640",10,"1,456,060",8,"1,053,900",5,"823,720",4,"632,340",8,"1,063,600",6,"651,740",5,"823,720",5,"823,720",2,"230,180",6,"661,440"
V09G,CARDIOVASCULAR SYSTEM,서울,은평구,-,-,-,-,2,"113,312",-,-,-,-,0,"137,420",-,-,-,-,-,-,-,-,-,-,-,-
V09G,CARDIOVASCULAR SYSTEM,서울,종로구,212,"8,556,154",612,"25,248,272",528,"21,281,630",448,"18,164,962",492,"19,438,900",263,"9,839,444",500,"19,722,050",335,"12,653,930",207,"7,587,650",269,"10,179,870",239,"9,293,670",216,"8,446,780"
V09G,CARDIOVASCULAR SYSTEM,서울,중구,112,"10,430,296",106,"9,314,798",41,"4,802,548",48,"4,995,768",98,"9,133,848",58,"6,056,648",69,"6,250,346",61,"5,763,490",53,"4,528,100",72,"6,425,360",38,"3,616,880",46,"4,111,800"
V09G,CARDIOVASCULAR SYSTEM,서울,중랑구,22,"645,300",20,"682,500",17,"494,200",24,"692,600",28,"810,200",24,"680,700",30,"869,600",34,"1,067,400",29,"850,600",43,"1,345,400",22,"652,200",11,"395,000"
