ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
V09I,TUMOUR DETECTION,서울,강남구,"9,191","266,899,050","11,167","342,345,543","10,359","306,782,919","10,216","295,585,540","10,699","299,379,050","10,744","303,985,125","11,088","310,604,565","11,266","316,114,845","11,116","296,968,000","11,898","331,552,554","9,358","258,670,910","9,789","270,507,525"
V09I,TUMOUR DETECTION,서울,강동구,"2,570","40,010,000","2,710","40,105,000","2,331","34,888,407","2,261","32,703,407","2,481","38,845,500","2,420","35,585,000","2,541","40,768,407","2,490","42,270,000","2,050","30,850,000","2,581","42,008,844","2,016","33,362,644","2,160","37,572,380"
V09I,TUMOUR DETECTION,서울,강서구,-,-,-,-,-,-,-,-,20,"549,000",-,-,-,-,-,-,10,"280,000",10,"280,000",-,-,-,-
V09I,TUMOUR DETECTION,서울,관악구,110,"3,080,000",80,"2,240,000",60,"1,680,000",60,"1,680,000",50,"1,400,000",80,"2,240,000",50,"1,400,000",50,"1,400,000",80,"2,240,000",90,"2,520,000",90,"2,520,000",120,"3,360,000"
V09I,TUMOUR DETECTION,서울,광진구,"1,350","37,800,000","1,783","50,271,532","1,611","47,820,140","1,700","47,600,000","1,541","46,545,175","1,280","35,840,000","1,580","44,240,000","1,620","45,360,000","1,710","47,880,000","1,782","56,005,315","1,440","40,320,000","1,640","45,920,000"
V09I,TUMOUR DETECTION,서울,구로구,"1,633","47,062,863","1,543","45,890,221","1,811","51,603,407","2,021","56,809,728","2,282","67,875,455","1,961","55,129,728","2,160","60,480,000","2,110","59,080,000","2,271","64,483,407","2,100","58,800,000","1,600","44,800,000","1,872","54,206,814"
V09I,TUMOUR DETECTION,서울,금천구,-,-,-,-,-,-,-,-,-,-,10,"280,000",-,-,-,-,-,-,-,-,-,-,-,-
V09I,TUMOUR DETECTION,서울,노원구,"2,830","79,240,000","2,980","83,440,000","2,780","77,840,000","2,350","65,800,000","2,905","81,340,000","2,965","82,939,000","3,031","88,196,000","2,976","86,656,000","3,020","84,560,000","3,005","84,140,000","2,565","71,820,000","3,010","84,172,000"
V09I,TUMOUR DETECTION,서울,도봉구,40,"1,120,000",40,"1,120,000",30,"840,000",30,"840,000",70,"1,960,000",40,"1,120,000",30,"840,000",10,"280,000",50,"1,400,000",60,"1,680,000",70,"1,960,000",90,"2,520,000"
V09I,TUMOUR DETECTION,서울,동대문구,530,"14,168,000",710,"19,320,000",720,"19,656,000",590,"15,848,000",750,"20,608,000",730,"20,104,000",990,"27,160,000",941,"26,739,407",910,"24,808,000",881,"24,307,407",640,"17,472,000",890,"23,856,000"
V09I,TUMOUR DETECTION,서울,동작구,"1,810","50,680,000","2,100","58,800,000","2,211","61,908,000","1,880","52,640,000","1,960","54,880,000","2,110","59,080,000","2,020","56,560,000","2,340","65,520,000","1,810","50,680,000","2,260","63,280,000","1,880","52,640,000","2,340","65,520,000"
V09I,TUMOUR DETECTION,서울,마포구,-,-,10,"280,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
V09I,TUMOUR DETECTION,서울,서대문구,"7,612","219,827,595","7,385","206,780,000","7,622","220,107,595","7,020","196,560,000","7,595","212,660,000","6,610","185,080,000","6,790","190,120,000","6,971","199,167,455","6,136","175,787,455","4,852","139,424,957","3,981","112,363,407","4,540","127,120,000"
V09I,TUMOUR DETECTION,서울,서초구,"3,170","88,760,000","3,550","99,400,000","3,620","101,360,000","3,640","101,920,000","3,861","111,505,175","3,290","92,120,000","3,540","99,120,000","3,610","101,080,000","3,270","91,560,000","3,640","101,920,000","2,931","86,047,455","2,070","57,960,000"
V09I,TUMOUR DETECTION,서울,성동구,740,"20,720,000",650,"18,200,000",880,"24,640,000",620,"17,360,000",710,"19,880,000",620,"17,360,000",800,"22,400,000",681,"19,963,407",640,"17,920,000",790,"22,120,000",595,"16,660,000",790,"22,120,000"
