ATC코드,ATC코드명,시도명칭,시군구명칭,수량12,금액12,수량11,금액11,수량10,금액10,수량09,금액09,수량08,금액08,수량07,금액07,수량06,금액06,수량05,금액05,수량04,금액04,수량03,금액03,수량02,금액02,수량01,금액01
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,서울,강남구,85,"26,520,480",165,"48,805,050",191,"49,136,556",85,"24,789,282",116,"31,898,244",146,"39,707,052",173,"41,769,756",136,"34,439,790",180,"48,473,544",173,"43,353,618",190,"47,884,200",250,"56,577,024"
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,서울,강동구,2,"865,700",8,"2,603,802",10,"3,218,910",2,"221,004",4,"1,385,200",2,"656,410",3,"1,009,312",5,"1,426,402",3,"733,802",8,"2,229,504",17,"3,677,100",5,"1,901,520"
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,서울,광진구,1,"368,340",5,"1,768,032",2,"736,680",3,"1,031,352",5,"1,952,202",1,"552,510",2,"663,012",12,"2,799,384",5,"2,210,040",6,"2,136,372",8,"3,867,570",4,"699,846"
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,서울,구로구,10,"3,315,060",3,"920,850",6,"2,210,040",13,"4,051,740",4,"1,141,854",14,"3,978,072",6,"1,952,202",6,"1,952,202",3,"920,850",8,"2,394,210",9,"3,130,890",7,"2,394,210"
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,서울,노원구,18,"5,859,706",26,"9,242,402",22,"8,810,004",8,"3,769,700",20,"9,701,304",9,"3,465,804",23,"7,457,802",14,"4,635,006",19,"6,827,902",25,"7,369,308",18,"6,612,600",9,"2,839,602"
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,서울,도봉구,6,"1,841,700",5,"1,473,360",10,"2,688,882",-,-,4,"1,105,020",6,"1,841,700",5,"1,657,530",9,"2,578,380",6,"1,952,202",5,"1,657,530",6,"1,583,862",6,"1,583,862"
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,서울,동대문구,4,"1,841,700",4,"1,399,692",5,"1,583,862",4,"1,657,530",6,"1,620,696",7,"2,504,712",6,"1,620,696",7,"2,320,542",8,"3,057,222",7,"2,762,550",1,"552,510",7,"2,578,380"
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,서울,동작구,14,"4,099,976",30,"8,545,143",24,"6,837,721",20,"6,488,646",24,"7,214,151",14,"4,779,795",23,"7,716,569",17,"3,867,882",15,"6,050,065",33,"11,301,184",18,"5,288,952",34,"9,575,496"
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,서울,서대문구,48,"19,779,812",51,"19,227,284",52,"17,680,296",48,"16,133,254",63,"20,811,176",45,"13,591,674",45,"15,433,418",43,"20,627,000",49,"18,453,814",58,"29,098,782",35,"18,159,102",13,"6,998,450"
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,서울,서초구,15,"5,525,100",11,"4,051,740",17,"6,261,780",8,"2,946,720",13,"4,788,420",9,"3,241,392",15,"5,451,432",11,"4,051,740",13,"4,788,420",14,"5,156,760",9,"3,315,060",17,"6,261,780"
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,서울,성동구,4,"1,473,360",3,"1,289,190",6,"2,578,380",2,"1,105,020",7,"2,762,550",4,"1,473,360",4,"2,210,040",5,"2,025,870",8,"3,315,060",4,"1,657,530",8,"3,683,400",10,"4,051,740"
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,서울,성북구,10,"1,620,696",6,"663,012",11,"1,878,534",12,"2,233,013",13,"2,357,376",16,"2,661,160",15,"2,504,712",14,"2,344,012",15,"2,454,514",12,"2,233,013",9,"1,915,368",16,"2,946,720"
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,서울,송파구,47,"15,616,440",39,"11,933,040",45,"12,755,470",41,"10,532,760",59,"17,235,960",57,"18,648,910",65,"18,659,816",26,"10,583,440",20,"8,361,318",34,"13,861,666",25,"10,460,856",47,"19,337,850"
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,서울,양천구,7,"3,054,502",6,"2,686,502",5,"2,760,000",2,"662,502",3,"1,288,000",8,"4,600,000",2,"1,104,000",4,"1,841,700",10,"5,156,760",19,"9,503,172",9,"4,788,420",13,"5,561,934"
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,서울,영등포구,11,"3,499,230",19,"5,893,440",13,"4,420,080",9,"3,425,562",11,"3,522,804",21,"7,095,702",16,"5,709,270",21,"6,734,020",22,"7,661,472",15,"5,629,000",7,"2,946,720",19,"7,654,870"
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,서울,용산구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,"110,502",-,-
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,서울,종로구,26,"8,529,800",44,"8,793,540",75,"16,386,110",30,"8,082,570",68,"18,855,405",32,"10,336,322",62,"11,354,950",14,"5,128,700",22,"7,572,302",25,"10,186,110",28,"9,765,814",36,"12,854,002"
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,서울,중구,-,-,-,-,2,"663,012",2,"471,475",-,-,2,"221,004",1,"360,973",2,"651,962",4,"442,008",1,"110,502",-,-,3,"509,783"
V10X,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,서울,중랑구,1,"106,080",-,-,-,-,-,-,1,"106,080",-,-,1,"106,080",-,-,-,-,-,-,-,-,-,-
